Date,Open,High,Low,Close,Volume,Market Cap
Dec-30-2013,741.35,766.6,740.24,756.13,22761578.13620072,9208370232.27322
Dec-29-2013,728.05,748.61,714.44,745.05,25224720.714285713,8855014280.557642
Dec-28-2013,737.98,747.06,705.35,727.83,37162283.62369338,9052405011.59776
Dec-27-2013,763.28,777.51,713.6,735.07,59574817.55319149,51079300759.18997
Dec-26-2013,683.94,777.75,683.94,761.98,0,8823264471.632868
Dec-25-2013,666.31,682.7,649.48,682.21,0,8117254030.310104
Dec-24-2013,672.36,684.39,645.71,665.58,0,8087558008.729167
Dec-23-2013,613.06,680.91,611.04,673.41,0,7815649974.145833
Dec-22-2013,601.78,666.74,585.64,617.18,0,7634471211.870629
Dec-21-2013,619.9,654.27,579.17,605.66,0,7496491064.600695
Dec-20-2013,694.22,729.16,595.33,625.32,0,8278819981.468532
Dec-19-2013,519.06,707.23,502.89,691.96,0,7498842662.888112
Dec-18-2013,678.2,679.32,420.51,522.7,0,6904004416.13986
Dec-17-2013,706.37,754.83,630.88,682.12,0,8411836749.585366
Dec-16-2013,880.33,882.25,668.25,705.97,0,9797279561.003485
Dec-15-2013,875.29,886.16,825,876.12,0,10377942790.14841
Dec-14-2013,899.85,904.65,858.36,872.6,0,10666393220.133333
Dec-13-2013,874.98,941.79,860.05,892.58,0,10814526003.791666
Dec-12-2013,882.78,901.94,844.95,873.26,0,10543974130.775438
Dec-11-2013,989.07,1001.58,834.23,878.48,0,11132235181.954546
Dec-10-2013,892.32,997.23,892.32,988.51,0,11357875550.583038
Dec-09-2013,793.8,921.93,780.9,893.19,0,10482293789.675959
Dec-08-2013,697.31,802.51,670.88,795.87,0,8869665360.986063
Dec-07-2013,835.32,854.64,640.22,698.23,0,8926418109.448763
Dec-06-2013,1042.38,1042.38,829.45,829.45,0,11721574877.745583
Dec-05-2013,1152.73,1154.36,897.11,1045.11,0,12765192379.484098
Dec-04-2013,1077.58,1156.12,1070.16,1151.17,0,13410349155.003521
Dec-03-2013,1046.4,1096,1011.21,1078.28,0,12768575826.37193
Dec-02-2013,951.42,1055.42,938.41,1043.33,0,12136087600.163763
Dec-01-2013,1128.92,1133.08,801.82,955.85,0,12407207412.958189
Nov-30-2013,1129.37,1156.14,1106.61,1129.43,0,13685797835.790941
Nov-29-2013,1042.01,1146.97,1000.64,1131.97,0,13130218591.119047
Nov-28-2013,1003.38,1077.56,962.17,1031.95,0,12189223344.177084
Nov-27-2013,923.85,1001.96,891.68,1001.96,0,11288513054.818815
Nov-26-2013,805.73,928.54,800.8,928.1,0,10160899996.052084
Nov-25-2013,773.02,810.68,754.43,799.11,0,9479403714.247272
Nov-24-2013,795.63,807.36,722.87,774.25,0,9315554095.675959
Nov-23-2013,771.7,844.97,771.7,797.82,0,9725763329.277779
Nov-22-2013,724.07,780.85,668.13,771.44,0,8550250353.23718
Nov-21-2013,594.32,733.4,577.29,722.43,0,7798078237.979167
Nov-20-2013,577.98,599.65,448.45,590.83,0,6413472945.564912
Nov-19-2013,712.76,806.11,456.39,584.61,0,7842969834.111111
Nov-18-2013,496.58,703.78,494.94,703.56,0,6722244316.256945
Nov-17-2013,440.96,500.58,440.24,492.11,0,5636073153.024305
Nov-16-2013,417.28,450.26,415.57,440.22,0,5227071684.576923
Nov-15-2013,419.41,437.89,396.11,417.95,0,5088115349.36237
Nov-14-2013,406.41,425.9,395.19,420.2,0,4987750978.045139
Nov-13-2013,360.97,414.05,359.8,407.37,0,4598111855.5754385
Nov-12-2013,343.06,362.81,342.8,360.33,0,4255154396.736111
Nov-11-2013,325.41,351.27,311.78,342.44,0,3981742515.701389
Nov-10-2013,348.82,350.7,277.24,326.62,0,3737612011.5347223
Nov-09-2013,338.58,370.82,319.71,339.11,0,4227868650.365854
Nov-08-2013,297.85,338.66,296.93,338.11,0,3831392179.8854165
Nov-07-2013,261.68,304.17,261.55,296.41,0,3429439622.5902777
Nov-06-2013,244.78,263,244.78,262.5,0,3068990578.79021
Nov-05-2013,229.21,250.66,226.22,245.24,0,2839395462.6840277
Nov-04-2013,214.66,231.01,213.94,229.1,0,2629920829.3090277
Nov-03-2013,205.99,215.05,203.99,215.05,0,2479526540.6215277
Nov-02-2013,205.81,207.76,201.65,206.22,0,2443806658.6013985
Nov-01-2013,203.9,206.65,202.13,206.18,0,2439073219.595819
Oct-31-2013,199.83,205.18,198.85,204,0,2408311752.2877192
Oct-30-2013,204.39,209.16,199.97,199.97,0,2433970710.509225
Oct-29-2013,198.55,204.79,198.55,204.39,0,2396558585.8402777
Oct-28-2013,196.21,198.62,192.06,198.55,0,2344551901.6829267
Oct-27-2013,176.6,196.44,176.6,196.44,0,2201179661.0555553
Oct-26-2013,187.45,188.41,175.75,177.32,0,2153917347.2787457
Oct-25-2013,197.69,198.87,168.5,186.69,0,2173935236.59375
Oct-24-2013,214.3,217.42,168.52,198.23,0,2380563233.8784723
Oct-23-2013,193.36,213.62,192.38,213.62,0,2384576040.3286715
Oct-22-2013,182.65,196.27,182.65,193.76,0,2265672646.327526
Oct-21-2013,174.8,184.82,174.8,182.21,0,2135373879.75
Oct-20-2013,171.66,174.91,168.95,174.61,0,2048647636.6875
Oct-19-2013,155.91,177.48,155.7,172.42,0,1982327360.0179856
Oct-18-2013,146.37,155.96,145.57,155.96,0,1777621284.28125
Oct-17-2013,142.41,147.42,142.41,146.25,0,1721590192.9166667
Oct-16-2013,145.65,152.23,142.43,142.55,0,1754296577.6585367
Oct-15-2013,140.77,145.39,139.13,145.24,0,1676220637.6388888
Oct-14-2013,139.27,144.12,138.9,140.52,0,1672369171.2395833
Oct-13-2013,135.19,138.66,134.55,138.13,0,1605187620.9583333
Oct-12-2013,130.9,135.66,130.56,135.19,0,1580788273.8222997
Oct-11-2013,130.75,131.81,129.64,130.9,0,1542370516.6076388
Oct-10-2013,130.67,131.5,129.26,130.59,0,1542155777.6458333
Oct-09-2013,125.85,131.75,125.58,130.69,0,1524164774.6689897
Oct-08-2013,126.74,127.47,124.71,126,0,1487193449.7508771
Oct-07-2013,129.43,130.27,126.36,126.94,0,1518677455.7013888
Oct-06-2013,128.36,129.66,126.15,129,0,1511179979.5783973
Oct-05-2013,128.63,130.44,128.03,128.55,0,1522528769.7569444
Oct-04-2013,123.41,130.09,123.41,129.01,0,1500254761.1631944
Oct-03-2013,114.45,123.63,111.82,123.63,0,1412675058.717472
Oct-02-2013,132.05,133.59,102.25,114.13,0,1501799430.9825785
Oct-01-2013,132.68,134.63,131.55,132.18,0,1567875129.5173612
Sep-30-2013,137.15,138.35,130.27,133,0,1571168689.1649122
Sep-29-2013,134.9,140.61,134.71,137.34,0,1630384157.9721255
Sep-28-2013,133.77,135.63,132.56,134.78,0,1575435247.8854167
